sample,channel_idx,channel_name,time,band,fRMSE
32,2,Vx,10,mid,1.000644564628601
32,2,Vx,10,high,1.0009962320327759
32,3,Vy,0,low,1.028206706047058
32,3,Vy,0,mid,1.0335301160812378
32,3,Vy,0,high,1.0220232009887695
32,3,Vy,1,low,1.0032256841659546
32,3,Vy,1,mid,1.037165880203247
32,3,Vy,1,high,1.0273795127868652
32,3,Vy,2,low,1.006872296333313
32,3,Vy,2,mid,1.0203070640563965
32,3,Vy,2,high,1.01841139793396
32,3,Vy,3,low,1.0051823854446411
32,3,Vy,3,mid,1.0131396055221558
32,3,Vy,3,high,1.016248106956482
32,3,Vy,4,low,1.0004626512527466
32,3,Vy,4,mid,1.0271697044372559
32,3,Vy,4,high,1.0154283046722412
32,3,Vy,5,low,1.0011407136917114
32,3,Vy,5,mid,1.0090378522872925
32,3,Vy,5,high,1.0140763521194458
32,3,Vy,6,low,1.0041714906692505
32,3,Vy,6,mid,1.0102126598358154
32,3,Vy,6,high,1.0110732316970825
32,3,Vy,7,low,1.0010879039764404
32,3,Vy,7,mid,1.0079010725021362
32,3,Vy,7,high,1.004613995552063
32,3,Vy,8,low,0.9971192479133606
32,3,Vy,8,mid,1.0061595439910889
32,3,Vy,8,high,1.0035518407821655
32,3,Vy,9,low,0.9902574419975281
32,3,Vy,9,mid,0.9994776248931885
32,3,Vy,9,high,1.0018364191055298
32,3,Vy,10,low,1.0032951831817627
32,3,Vy,10,mid,0.999558687210083
32,3,Vy,10,high,1.0004682540893555
33,0,density,0,low,0.12901301681995392
33,0,density,0,mid,1.0931419134140015
33,0,density,0,high,1.0598971843719482
33,0,density,1,low,0.1258045881986618
33,0,density,1,mid,1.0968496799468994
33,0,density,1,high,1.0602734088897705
33,0,density,2,low,0.11388498544692993
33,0,density,2,mid,1.085081934928894
33,0,density,2,high,1.0493487119674683
33,0,density,3,low,0.11145869642496109
33,0,density,3,mid,1.0502593517303467
33,0,density,3,high,1.0370444059371948
33,0,density,4,low,0.11723870784044266
33,0,density,4,mid,1.0520895719528198
33,0,density,4,high,1.032217264175415
33,0,density,5,low,0.11828938871622086
33,0,density,5,mid,1.0382176637649536
33,0,density,5,high,1.039149284362793
33,0,density,6,low,0.10280578583478928
33,0,density,6,mid,1.0363365411758423
33,0,density,6,high,1.0311548709869385
33,0,density,7,low,0.13157017529010773
33,0,density,7,mid,1.0313043594360352
33,0,density,7,high,1.0269666910171509
33,0,density,8,low,0.1178072914481163
