sample,channel_idx,channel_name,time,band,fRMSE
24,3,Vy,10,high,4.471739292144775
25,0,density,0,low,0.2919671833515167
25,0,density,0,mid,1.0184379816055298
25,0,density,0,high,1.1475087404251099
25,0,density,1,low,0.2942487299442291
25,0,density,1,mid,1.019665241241455
25,0,density,1,high,1.137571096420288
25,0,density,2,low,0.2945801019668579
25,0,density,2,mid,1.0062137842178345
25,0,density,2,high,1.1696538925170898
25,0,density,3,low,0.2732000946998596
25,0,density,3,mid,1.009433388710022
25,0,density,3,high,1.2009390592575073
25,0,density,4,low,0.28315675258636475
25,0,density,4,mid,1.0028527975082397
25,0,density,4,high,1.2142970561981201
25,0,density,5,low,0.26737311482429504
25,0,density,5,mid,1.0107872486114502
25,0,density,5,high,1.2528640031814575
25,0,density,6,low,0.2707405984401703
25,0,density,6,mid,1.008007526397705
25,0,density,6,high,1.255699872970581
25,0,density,7,low,0.2653086483478546
25,0,density,7,mid,1.0057941675186157
25,0,density,7,high,1.2631431818008423
25,0,density,8,low,0.2679966688156128
25,0,density,8,mid,1.0050475597381592
25,0,density,8,high,1.3434195518493652
25,0,density,9,low,0.28290238976478577
25,0,density,9,mid,1.0034083127975464
25,0,density,9,high,1.317033052444458
25,0,density,10,low,0.27248984575271606
25,0,density,10,mid,1.0039043426513672
25,0,density,10,high,1.2913028001785278
25,1,pressure,0,low,0.3031441569328308
25,1,pressure,0,mid,1.1011714935302734
25,1,pressure,0,high,1.1280138492584229
25,1,pressure,1,low,0.3080940842628479
25,1,pressure,1,mid,1.0837684869766235
25,1,pressure,1,high,1.1278754472732544
25,1,pressure,2,low,0.3099377751350403
25,1,pressure,2,mid,1.0627459287643433
25,1,pressure,2,high,1.1576799154281616
25,1,pressure,3,low,0.3032567799091339
25,1,pressure,3,mid,1.0619111061096191
25,1,pressure,3,high,1.1134328842163086
25,1,pressure,4,low,0.32029321789741516
25,1,pressure,4,mid,1.0372787714004517
25,1,pressure,4,high,1.1138752698898315
25,1,pressure,5,low,0.27227479219436646
25,1,pressure,5,mid,1.0400092601776123
25,1,pressure,5,high,1.1174061298370361
25,1,pressure,6,low,0.25311124324798584
25,1,pressure,6,mid,1.037291407585144
25,1,pressure,6,high,1.1571495532989502
25,1,pressure,7,low,0.25542956590652466
25,1,pressure,7,mid,1.0293670892715454
25,1,pressure,7,high,1.132799506187439
25,1,pressure,8,low,0.24726730585098267
25,1,pressure,8,mid,1.0336154699325562
25,1,pressure,8,high,1.1457422971725464
25,1,pressure,9,low,0.2953806221485138
25,1,pressure,9,mid,1.0252974033355713
25,1,pressure,9,high,1.1328966617584229
25,1,pressure,10,low,0.2559777498245239
25,1,pressure,10,mid,1.0109513998031616
25,1,pressure,10,high,1.1054335832595825
25,2,Vx,0,low,1.0818150043487549
25,2,Vx,0,mid,1.1280654668807983
25,2,Vx,0,high,3.3011577129364014
25,2,Vx,1,low,1.1012986898422241
25,2,Vx,1,mid,1.1157186031341553
25,2,Vx,1,high,3.325377941131592
25,2,Vx,2,low,1.117140769958496
25,2,Vx,2,mid,1.1258125305175781
25,2,Vx,2,high,3.8206121921539307
25,2,Vx,3,low,1.181071400642395
25,2,Vx,3,mid,1.1025127172470093
25,2,Vx,3,high,3.983297109603882
25,2,Vx,4,low,1.19670832157135
25,2,Vx,4,mid,1.1015061140060425
25,2,Vx,4,high,4.058121681213379
25,2,Vx,5,low,1.2030764818191528
25,2,Vx,5,mid,1.0958948135375977
25,2,Vx,5,high,4.350784778594971
25,2,Vx,6,low,1.192467451095581
25,2,Vx,6,mid,1.1072403192520142
25,2,Vx,6,high,4.807820796966553
25,2,Vx,7,low,1.1503353118896484
25,2,Vx,7,mid,1.089824914932251
25,2,Vx,7,high,5.138183116912842
25,2,Vx,8,low,1.1321660280227661
25,2,Vx,8,mid,1.0955376625061035
25,2,Vx,8,high,5.777245044708252
25,2,Vx,9,low,1.0713521242141724
25,2,Vx,9,mid,1.073094367980957
25,2,Vx,9,high,5.669601917266846
25,2,Vx,10,low,1.0246858596801758
25,2,Vx,10,mid,1.0508649349212646
25,2,Vx,10,high,5.5658464431762695
25,3,Vy,0,low,1.0759062767028809
25,3,Vy,0,mid,1.0719228982925415
25,3,Vy,0,high,2.5651721954345703
25,3,Vy,1,low,1.0775169134140015
25,3,Vy,1,mid,1.053438425064087
25,3,Vy,1,high,2.9296064376831055
25,3,Vy,2,low,1.0513910055160522
25,3,Vy,2,mid,1.0575484037399292
25,3,Vy,2,high,3.067746877670288
25,3,Vy,3,low,1.0647192001342773
25,3,Vy,3,mid,1.0684690475463867
25,3,Vy,3,high,3.392591953277588
25,3,Vy,4,low,1.0893276929855347
25,3,Vy,4,mid,1.0483957529067993
25,3,Vy,4,high,3.6584203243255615
25,3,Vy,5,low,1.0687217712402344
25,3,Vy,5,mid,1.0404926538467407
25,3,Vy,5,high,3.7578485012054443
25,3,Vy,6,low,1.058535099029541
25,3,Vy,6,mid,1.0403127670288086
25,3,Vy,6,high,3.8511877059936523
25,3,Vy,7,low,1.0526599884033203
25,3,Vy,7,mid,1.0275665521621704
25,3,Vy,7,high,3.86820125579834
25,3,Vy,8,low,1.0725672245025635
25,3,Vy,8,mid,1.0328587293624878
25,3,Vy,8,high,4.761482238769531
25,3,Vy,9,low,1.0844169855117798
25,3,Vy,9,mid,1.0272997617721558
25,3,Vy,9,high,4.520380973815918
25,3,Vy,10,low,1.0519262552261353
25,3,Vy,10,mid,1.0234525203704834
25,3,Vy,10,high,4.4868059158325195
26,0,density,0,low,0.21846094727516174
26,0,density,0,mid,1.0235236883163452
26,0,density,0,high,1.7893741130828857
26,0,density,1,low,0.19935306906700134
26,0,density,1,mid,1.0276061296463013
26,0,density,1,high,1.8964252471923828
